
2024/10/18 (12:31:33) | ===> btop++ v.1.4.0
2024/10/18 (12:31:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (15:31:50) | ===> btop++ v.1.4.0
2024/10/20 (15:31:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (23:57:13) | ===> btop++ v.1.4.0
2024/10/20 (23:57:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (02:31:06) | ===> btop++ v.1.4.0
2024/10/22 (02:31:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (03:46:35) | ===> btop++ v.1.4.0
2024/10/22 (03:46:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (12:43:47) | ===> btop++ v.1.4.0
2024/10/22 (12:43:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (13:09:05) | ===> btop++ v.1.4.0
2024/10/22 (13:09:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (13:35:28) | ===> btop++ v.1.4.0
2024/10/23 (13:35:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/24 (01:08:39) | ===> btop++ v.1.4.0
2024/10/24 (01:08:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/24 (01:35:51) | ===> btop++ v.1.4.0
2024/10/24 (01:35:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/24 (13:01:06) | ===> btop++ v.1.4.0
2024/10/24 (13:01:06) | WARNING: Intel GPU: Failed to initialize PMU
